1,드라이 마티니,0,0,4,3,5,35,드라이,깔끔하고 섬세한 깊은 맛이 느껴진다.
2,싱가포르 슬링,3,2,2,1,2,17,미디엄 드라이,부드럽고 달콤한 맛이 입안 가득 퍼진다.
3,애프리코트,4,3,0,2,4,35,미디엄,상큼함과 균형 잡힌 맛이 조화를 이룬다.
4,브랜디알렉산더,4,0,1,3,3,21,스위트,달달하고 크림 같은 풍미가 있다.
5,그래스호퍼,4,0,0,5,2,15,스위트,상큼함과 달달함 부드러움이 완벽하게 어우러진다.
6,롱아일랜드 아이스티,3,2,2,1,4,35,미디엄,레몬 맛과 아이스티 맛 그리고 콜라 맛이 동시에 느껴진다.
7,바카디,2,3,0,1,3,23,미디엄,부드러운 질감과 톡 쏘는 향긋함이 특징이다.
8,쿠바 리브레,3,2,0,1,2,12,미디엄,달콤하고 상큼하며 더위에 잘 어울린다.
9,블랙 러시안,3,0,1,2,4,32,미디엄 스위트,보드카와 커피 리큐어 맛의 조화가 매력적이다.
10,모스코뮬,2,3,0,3,2,14,미디엄,달콤함과 시원함 그리고 약간의 매운 맛이 조화를 이룬다.
11,데낄라 선라이즈,3,3,0,1,2,12,미디엄,그라데이션을 이루는 달콤하고 상큼한 맛이 홍삼캔디와 오렌지 그리고 그레나딘 시럽의 향을 불러일으킨다.
12,올드패션드,2,0,3,2,4,33,미디엄 드라이,달콤함과 비터스 특유의 약재 향 그리고 높은 도수가 함께 느껴진다.
13,코스모폴리탄,2,3,0,2,3,25,미디엄,오렌지와 크랜베리의 조화가 달콤함과 높은 도수 그리고 화려한 색감을 매력적으로 만든다.
14,마가리타,2,4,0,1,4,33,미디엄 드라이,신맛과 짠맛 그리고 독특한 단맛이 어우러진 데킬라 베이스의 음료이다.
15,허니문,4,2,0,3,3,27,미디엄,한약 맛과 감기 시럽 맛이 강하게 느껴지며 호불호가 갈린다.
16,키르,3,2,1,2,2,14,미디엄,식전주로 적합한 블랙커런트의 달콤함이 돋보인다.
17,풋사랑,3,2,0,2,4,30,미디엄,안동 소주 베이스에 사과 향이 어우러져 달콤하고 상큼한 맛이 느껴진다.
18,고창,3,0,0,2,1,9,미디엄,복분자주와 복분자 오렌지향이 어우러져 식전주로 잘 어울린다.
19,진도,4,1,0,3,2,12,미디엄,홍주 베이스의 달콤함이 깔끔하게 마무리된다.
20,준 벅,4,2,0,2,2,20,미디엄 스위트,달콤한 메론 향과 코코넛 향이 조화를 이루며 매력적이다.
21,마이-타이,3,3,0,2,2,15,미디엄 스위트,깊은 풍미와 부드러움이 조화롭게 어우러진다.
22,피나콜라다,4,1,0,2,1,9,스위트,딜콤함과 상큼함이 파인애플 향과 코코넛 향과 함께 느껴진다.
23,블루하와이,3,1,0,1,2,20,스위트,달콤하고 상큼한 맛이 파란색으로 표현된다.
24,불바디에,2,0,4,2,3,25,미디엄 드라이,달콤함과 씁쓸함 그리고 거친 질감이 독특한 매력을 발산한다.
